business_id,categories
5UmKMjUEUNdYWqANhGckJw,"['Fast Food', 'Restaurants']"
UsFtqoBl7naz8AVUBZMjQQ,['Nightlife']
3eu6MEFlq2Dg7bQh8QbdOg,"['Auto Repair', 'Automotive']"
cE27W9VPgO88Qxe4ol6y_g,"['Active Life', 'Mini Golf', 'Golf']"
HZdLhv6COCleJMo7nPl-RA,"['Shopping', 'Home Services', 'Internet Service Providers', 'Mobile Phones', 'Professional Services', 'Electronics']"
mVHrayjG3uZ_RLHkLj-AMg,"['Bars', 'American (New)', 'Nightlife', 'Lounges', 'Restaurants']"
VHYT1qgQw5JvXAlUDhTArA,"['Active Life', 'Trainers', 'Fitness & Instruction']"
KayYbHCt-RkbGcPdGOThNg,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
b12U9TFESStdy7CsTtcOeg,"['Auto Repair', 'Automotive', 'Tires']"
Sktj1eHQFuVa-M4bgnEh8g,"['Active Life', 'Mini Golf']"
3ZVKmuK2l7uXPE6lXY4Dbg,"['Home Services', 'Contractors']"
QoDa50dc7g62xciFygXB9w,"['Veterinarians', 'Pets']"
1_lU0-eSWJCRvNGk78Zh9Q,"['Libraries', 'Public Services & Government']"
_qopVQ6_Mz6W7-Pmbi56GQ,"['Automotive', 'Auto Parts & Supplies']"
wJr6kSA5dchdgOdwH6dZ2w,"['Burgers', 'Breakfast & Brunch', 'American (Traditional)', 'Restaurants']"
yXuao0pFz1AxB21vJjDf5w,"['Food', 'Grocery']"
F04xyOUA2xnUoCiWpx9iJA,"['Local Services', 'Dry Cleaning & Laundry', 'Sewing & Alterations']"
Cdcus0NADzyY3XiJM2O5Sg,"['Automotive', 'Gas & Service Stations']"
fNGIbpazjTRdXgwRY_NIXA,"['Bars', 'American (Traditional)', 'Nightlife', 'Lounges', 'Restaurants']"
b9WZJp5L1RZr4F1nxclOoQ,"['Breakfast & Brunch', 'Sandwiches', 'Restaurants']"
zaXDakTd3RXyOa7sMrUE1g,"['Cafes', 'Restaurants']"
zgy27FSnvwdINfk5cXBIyQ,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']"
WETE_LykpcnrC1sFcQ5EGg,"['Pubs', 'Irish', 'Nightlife', 'Bars', 'Restaurants']"
6o3RK6rTcN3nw-j-r2nQmA,[]
woOVJ0Z2f6XNCDntHA3b_g,"['Local Services', 'Sewing & Alterations']"
YX_cdwb0A62hdQRBiZJgtQ,"['Automotive', 'Body Shops']"
rv7CY8G_XibTx82YhuqQRw,['Restaurants']
e_U_FnpdKVgNb4mUN2cU_Q,"['Health & Medical', 'Dentists', 'General Dentistry']"
SQ0j7bgSTazkVQlF5AnqyQ,"['Chinese', 'Restaurants']"
L0YSY79uzz_FIInvKmvyIw,"['Health & Medical', 'Dentists', 'General Dentistry']"
wqu7ILomIOPSduRwoWp4AQ,"['American (Traditional)', 'Restaurants']"
1u2NauOy8xDj7aFQET680A,"['Active Life', 'Gyms', 'Trainers', 'Fitness & Instruction']"
P1fJb2WQ1mXoiudj8UE44w,"['Restaurants', 'Italian']"
8QlnAcjGE6dgfKTVoxrPvQ,"['American (Traditional)', 'Comfort Food', 'Caterers', 'Event Planning & Services', 'Restaurants']"
t_gan0EXAw8csKIeFyazJw,"['Italian', 'Pizza', 'Restaurants']"
3gmBc0qN_LtGbZAjTtHWZg,"['Food', 'Coffee & Tea']"
sZ4uYs99km644ZMR1TO76A,"['Pubs', 'Bars', 'Nightlife']"
yHTLTr-QN-loO_7XoxS8qg,"['Arts & Crafts', 'Shopping', 'Knitting Supplies', 'Hobby Shops']"
iQLLIdmJSt6LQHSjpZERLA,"['Gift Shops', 'Flowers & Gifts', 'Shopping', 'Home Decor', 'Home & Garden']"
6ilJq_05xRgek_8qUp36-g,"['Burgers', 'Fast Food', 'Restaurants']"
57HN9fGRar_GckBmgHgemA,"['Department Stores', 'Fashion', 'Shopping']"
MKyk4F4HSzHF8v-4cYe3Ww,"['Bars', 'Nightlife']"
0hrB2iwQZ52VZcZWYywXrA,"['Automotive', 'Body Shops']"
gClSqcwuLsgyZRCzhJc7Dg,"['Shopping', 'Home Services', 'Building Supplies', 'Home & Garden', 'Hardware Stores', 'Nurseries & Gardening']"
1qCuOcks5HRv67OHovAVpg,"['Pubs', 'Bars', 'American (New)', 'Nightlife', 'Restaurants']"
sbW8qHJgzEIH42B0S-3New,"['Arts & Entertainment', 'American (Traditional)', 'Bars', 'Pubs', 'Arcades', 'Nightlife', 'Restaurants']"
CgGT6sr4OCF2BHYngOIqlw,"['Pet Services', 'Pet Boarding/Pet Sitting', 'Pets']"
W7ysp8GLCBrs0GXIVwAcBQ,"['Burgers', 'Fast Food', 'Restaurants']"
-taSf0shFSUKy9iCXnySsA,"['Pizza', 'Restaurants']"
McikHxxEqZ2X0joaRNKlaw,"['Food', 'American (Traditional)', 'Breweries', 'Restaurants']"
frIRW4BGhdAWbSsG5ev2ng,"['Auto Repair', 'Automotive']"
tv8cS4aaA1VDaInYgggb6g,"['Nightlife', 'Comedy Clubs']"
eT5Ck7Gg1dBJobca9VFovw,"['Food', 'Grocery']"
HwwEfnZKLNOUoqfgcwAgcQ,"['Books, Mags, Music & Video', 'Shopping', 'Bookstores']"
EoAY1JSVeJriBzId8lUQwQ,"['Bars', 'American (New)', 'Nightlife', 'Restaurants']"
uI0LvTXFACid1308KFO5ew,"['Active Life', 'Swimming Pools']"
Y4CcDDyMoDpK7BbpKawWjw,"['Mattresses', 'Shopping', 'Home & Garden']"
RxKrw38oyeYszQ6guY5b1A,"['Hotels & Travel', 'Airport Shuttles', 'Limos', 'Transportation']"
TfvWSIAMFZ9zI3y2-K6wOA,"['Chinese', 'Restaurants']"
tU-YtoW339PXJmUGSix_AQ,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
6p9TlP2I8S4agxYMNFSDjg,"['American (Traditional)', 'Pizza', 'Gluten-Free', 'Restaurants']"
Eu3Iwje0YY8ectr-CxMgqg,"['Shopping', 'Cosmetics & Beauty Supply', 'Beauty & Spas']"
XhbC5Qj5nBcqcKLPRd8izQ,"['Lingerie', 'Shopping', 'Fashion']"
FituZ4jYzRe41ac9uvcHaQ,"[""Women's Clothing"", 'Fashion', 'Shopping', 'Shoe Stores']"
JDDeaNfb0JXD1NbznSIC9g,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
oPX8bpZ3dqviYQuic0Ahqw,"['Fashion', 'Shopping', 'Shoe Stores']"
FiXamVMgMf9U0VqFHDZSEA,"['Soup', 'Sandwiches', 'Salad', 'Restaurants']"
LG_Dgv7u7P2ASDWU1RAyWQ,"['Veterinarians', 'Pets']"
ISKLP0qxApATxRlUDob6Cg,"['Department Stores', 'Fashion', 'Shopping']"
DMy5IG-dNrH4ARk96KngEA,"[""Men's Clothing"", 'Fashion', 'Shopping', 'Formal Wear']"
uLnDFdn011hEroQQMLmxNQ,"['Pizza', 'Restaurants']"
rdATJvFQK4C73NIQ3zoY3w,"['Fashion', 'Shopping', 'Shoe Stores']"
g10zmpUzmMJOOIjj_JJPvg,"['Department Stores', 'Fashion', 'Shopping']"
eznh0XjVtv924K-KYx_ilQ,"['American (Traditional)', 'Diners', 'Restaurants']"
