business_id,attributes
5UmKMjUEUNdYWqANhGckJw,"{'Take-out': True, 'Drive-Thru': False, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}, 'Caters': False, 'Noise Level': 'average', 'Takes Reservations': False, 'Delivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Has TV': False, 'Outdoor Seating': False, 'Attire': 'casual', 'Alcohol': 'none', 'Waiter Service': False, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Good For Groups': True, 'Price Range': 1}"
UsFtqoBl7naz8AVUBZMjQQ,"{'Happy Hour': True, 'Accepts Credit Cards': True, 'Good For Groups': True, 'Outdoor Seating': False, 'Price Range': 1}"
3eu6MEFlq2Dg7bQh8QbdOg,{}
cE27W9VPgO88Qxe4ol6y_g,{'Good for Kids': True}
HZdLhv6COCleJMo7nPl-RA,"{'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Accepts Credit Cards': False, 'Price Range': 2}"
mVHrayjG3uZ_RLHkLj-AMg,"{'Alcohol': 'full_bar', 'Noise Level': 'average', 'Has TV': True, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'Good for Kids': True, 'Price Range': 1, 'Good For Dancing': False, 'Delivery': False, 'Coat Check': False, 'Smoking': 'no', 'Accepts Credit Cards': True, 'Take-out': True, 'Happy Hour': False, 'Outdoor Seating': False, 'Takes Reservations': False, 'Waiter Service': True, 'Wi-Fi': 'no', 'Caters': True, 'Good For': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, 'Music': {'dj': False}, 'Good For Groups': True}"
VHYT1qgQw5JvXAlUDhTArA,{'Good for Kids': False}
KayYbHCt-RkbGcPdGOThNg,"{'Alcohol': 'full_bar', 'Noise Level': 'loud', 'Has TV': True, 'Attire': 'casual', 'Ambience': {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'Good for Kids': False, 'Price Range': 1, 'Good For Dancing': True, 'Delivery': False, 'Coat Check': False, 'Smoking': 'outdoor', 'Accepts Credit Cards': True, 'Take-out': True, 'Happy Hour': True, 'Outdoor Seating': True, 'Takes Reservations': False, 'Waiter Service': True, 'Wi-Fi': 'free', 'Caters': False, 'Good For': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}, 'Parking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'Music': {'dj': False}, 'Good For Groups': True}"
b12U9TFESStdy7CsTtcOeg,{}
Sktj1eHQFuVa-M4bgnEh8g,{'Good for Kids': True}
