business_id,sunday_open,sunday_close,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close
5UmKMjUEUNdYWqANhGckJw,,,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,,
UsFtqoBl7naz8AVUBZMjQQ,,,,,,,,,,,,,,
3eu6MEFlq2Dg7bQh8QbdOg,,,,,,,,,,,,,,
cE27W9VPgO88Qxe4ol6y_g,,,,,,,,,,,,,,
HZdLhv6COCleJMo7nPl-RA,11:00,18:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,17:00,10:00,17:00,10:00,21:00
mVHrayjG3uZ_RLHkLj-AMg,,,,,10:00,19:00,10:00,19:00,10:00,19:00,10:00,20:00,10:00,16:00
VHYT1qgQw5JvXAlUDhTArA,,,,,,,,,,,,,,
KayYbHCt-RkbGcPdGOThNg,,,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,12:00,02:00
b12U9TFESStdy7CsTtcOeg,,,07:30,19:00,07:30,19:00,07:30,19:00,07:30,19:00,07:30,19:00,07:30,16:00
Sktj1eHQFuVa-M4bgnEh8g,,,,,,,,,,,,,,
3ZVKmuK2l7uXPE6lXY4Dbg,,,,,,,,,,,,,,
QoDa50dc7g62xciFygXB9w,,,,,,,,,,,,,,
1_lU0-eSWJCRvNGk78Zh9Q,,,,,,,,,,,,,,
_qopVQ6_Mz6W7-Pmbi56GQ,,,,,,,,,,,,,,
wJr6kSA5dchdgOdwH6dZ2w,08:00,02:00,08:00,02:00,08:00,02:00,08:00,02:00,08:00,02:00,08:00,02:00,08:00,02:00
yXuao0pFz1AxB21vJjDf5w,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00
F04xyOUA2xnUoCiWpx9iJA,,,,,,,,,,,,,,
Cdcus0NADzyY3XiJM2O5Sg,,,,,,,,,,,,,,
fNGIbpazjTRdXgwRY_NIXA,,,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00
b9WZJp5L1RZr4F1nxclOoQ,07:00,12:30,06:00,14:30,06:00,14:30,06:00,14:30,06:00,14:30,06:00,14:30,06:00,12:30
zaXDakTd3RXyOa7sMrUE1g,,,07:00,14:00,07:00,14:00,07:00,14:00,07:00,14:00,07:00,14:00,07:00,12:00
zgy27FSnvwdINfk5cXBIyQ,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00
WETE_LykpcnrC1sFcQ5EGg,,,,,,,,,,,,,,
6o3RK6rTcN3nw-j-r2nQmA,,,,,,,,,,,,,,
woOVJ0Z2f6XNCDntHA3b_g,,,08:30,19:00,08:30,19:00,08:30,19:00,08:30,19:00,08:30,19:00,08:30,18:30
YX_cdwb0A62hdQRBiZJgtQ,,,,,,,,,,,,,,
rv7CY8G_XibTx82YhuqQRw,,,,,,,,,,,,,,
e_U_FnpdKVgNb4mUN2cU_Q,,,,,,,,,,,,,,
SQ0j7bgSTazkVQlF5AnqyQ,,,,,,,,,,,,,,
L0YSY79uzz_FIInvKmvyIw,,,09:00,16:00,09:00,16:00,12:00,18:00,09:00,18:00,09:00,15:00,,
wqu7ILomIOPSduRwoWp4AQ,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00
1u2NauOy8xDj7aFQET680A,,,,,,,,,,,,,,
P1fJb2WQ1mXoiudj8UE44w,11:00,21:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00
8QlnAcjGE6dgfKTVoxrPvQ,10:30,21:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00
t_gan0EXAw8csKIeFyazJw,11:00,23:00,10:00,00:00,10:00,00:00,10:00,00:00,10:00,00:00,10:00,01:30,10:00,01:30
3gmBc0qN_LtGbZAjTtHWZg,06:00,21:30,06:00,21:30,06:00,21:30,06:00,21:30,06:00,22:30,07:00,22:30,07:00,21:00
sZ4uYs99km644ZMR1TO76A,,,,,,,,,,,,,,
yHTLTr-QN-loO_7XoxS8qg,10:00,19:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00
iQLLIdmJSt6LQHSjpZERLA,,,,,,,,,,,,,,
6ilJq_05xRgek_8qUp36-g,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00
57HN9fGRar_GckBmgHgemA,,,,,,,,,,,,,,
MKyk4F4HSzHF8v-4cYe3Ww,,,,,,,,,18:00,02:00,18:00,02:00,18:00,02:00
0hrB2iwQZ52VZcZWYywXrA,,,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,,
gClSqcwuLsgyZRCzhJc7Dg,,,,,,,,,,,,,,
1qCuOcks5HRv67OHovAVpg,,,,,,,,,,,,,,
sbW8qHJgzEIH42B0S-3New,11:30,00:00,11:30,00:00,11:30,00:00,11:30,00:00,11:30,00:00,11:30,02:00,11:30,02:00
CgGT6sr4OCF2BHYngOIqlw,,,,,,,,,,,,,,
W7ysp8GLCBrs0GXIVwAcBQ,,,,,,,,,,,,,,
-taSf0shFSUKy9iCXnySsA,11:00,00:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,00:00,11:00,00:00
McikHxxEqZ2X0joaRNKlaw,11:00,00:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00
frIRW4BGhdAWbSsG5ev2ng,,,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,07:30,17:00,,
tv8cS4aaA1VDaInYgggb6g,,,,,,,,,,,,,,
eT5Ck7Gg1dBJobca9VFovw,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00,06:00,00:00
HwwEfnZKLNOUoqfgcwAgcQ,11:00,20:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,22:00,10:00,22:00
EoAY1JSVeJriBzId8lUQwQ,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00,11:00,02:00
uI0LvTXFACid1308KFO5ew,,,,,,,,,,,,,,
Y4CcDDyMoDpK7BbpKawWjw,12:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00
RxKrw38oyeYszQ6guY5b1A,,,,,,,,,,,,,,
TfvWSIAMFZ9zI3y2-K6wOA,12:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:30,11:00,22:30
