business_id,hours
5UmKMjUEUNdYWqANhGckJw,"{'Friday': {'close': '21:00', 'open': '11:00'}, 'Tuesday': {'close': '21:00', 'open': '11:00'}, 'Thursday': {'close': '21:00', 'open': '11:00'}, 'Wednesday': {'close': '21:00', 'open': '11:00'}, 'Monday': {'close': '21:00', 'open': '11:00'}}"
UsFtqoBl7naz8AVUBZMjQQ,{}
3eu6MEFlq2Dg7bQh8QbdOg,{}
cE27W9VPgO88Qxe4ol6y_g,{}
HZdLhv6COCleJMo7nPl-RA,"{'Monday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '17:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '17:00', 'open': '10:00'}, 'Sunday': {'close': '18:00', 'open': '11:00'}, 'Saturday': {'close': '21:00', 'open': '10:00'}}"
mVHrayjG3uZ_RLHkLj-AMg,"{'Tuesday': {'close': '19:00', 'open': '10:00'}, 'Friday': {'close': '20:00', 'open': '10:00'}, 'Wednesday': {'close': '19:00', 'open': '10:00'}, 'Thursday': {'close': '19:00', 'open': '10:00'}, 'Saturday': {'close': '16:00', 'open': '10:00'}}"
VHYT1qgQw5JvXAlUDhTArA,{}
KayYbHCt-RkbGcPdGOThNg,"{'Monday': {'close': '02:00', 'open': '11:00'}, 'Tuesday': {'close': '02:00', 'open': '11:00'}, 'Friday': {'close': '02:00', 'open': '11:00'}, 'Wednesday': {'close': '02:00', 'open': '11:00'}, 'Thursday': {'close': '02:00', 'open': '11:00'}, 'Saturday': {'close': '02:00', 'open': '12:00'}}"
b12U9TFESStdy7CsTtcOeg,"{'Monday': {'close': '19:00', 'open': '07:30'}, 'Tuesday': {'close': '19:00', 'open': '07:30'}, 'Friday': {'close': '19:00', 'open': '07:30'}, 'Wednesday': {'close': '19:00', 'open': '07:30'}, 'Thursday': {'close': '19:00', 'open': '07:30'}, 'Saturday': {'close': '16:00', 'open': '07:30'}}"
Sktj1eHQFuVa-M4bgnEh8g,{}
3ZVKmuK2l7uXPE6lXY4Dbg,{}
QoDa50dc7g62xciFygXB9w,{}
1_lU0-eSWJCRvNGk78Zh9Q,{}
_qopVQ6_Mz6W7-Pmbi56GQ,{}
wJr6kSA5dchdgOdwH6dZ2w,"{'Monday': {'close': '02:00', 'open': '08:00'}, 'Tuesday': {'close': '02:00', 'open': '08:00'}, 'Friday': {'close': '02:00', 'open': '08:00'}, 'Wednesday': {'close': '02:00', 'open': '08:00'}, 'Thursday': {'close': '02:00', 'open': '08:00'}, 'Sunday': {'close': '02:00', 'open': '08:00'}, 'Saturday': {'close': '02:00', 'open': '08:00'}}"
yXuao0pFz1AxB21vJjDf5w,"{'Monday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Sunday': {'close': '00:00', 'open': '00:00'}, 'Saturday': {'close': '00:00', 'open': '00:00'}}"
F04xyOUA2xnUoCiWpx9iJA,{}
Cdcus0NADzyY3XiJM2O5Sg,{}
fNGIbpazjTRdXgwRY_NIXA,"{'Monday': {'close': '23:00', 'open': '11:00'}, 'Tuesday': {'close': '23:00', 'open': '11:00'}, 'Friday': {'close': '23:00', 'open': '11:00'}, 'Wednesday': {'close': '23:00', 'open': '11:00'}, 'Thursday': {'close': '23:00', 'open': '11:00'}, 'Saturday': {'close': '23:00', 'open': '11:00'}}"
b9WZJp5L1RZr4F1nxclOoQ,"{'Monday': {'close': '14:30', 'open': '06:00'}, 'Tuesday': {'close': '14:30', 'open': '06:00'}, 'Friday': {'close': '14:30', 'open': '06:00'}, 'Wednesday': {'close': '14:30', 'open': '06:00'}, 'Thursday': {'close': '14:30', 'open': '06:00'}, 'Sunday': {'close': '12:30', 'open': '07:00'}, 'Saturday': {'close': '12:30', 'open': '06:00'}}"
zaXDakTd3RXyOa7sMrUE1g,"{'Monday': {'close': '14:00', 'open': '07:00'}, 'Tuesday': {'close': '14:00', 'open': '07:00'}, 'Friday': {'close': '14:00', 'open': '07:00'}, 'Wednesday': {'close': '14:00', 'open': '07:00'}, 'Thursday': {'close': '14:00', 'open': '07:00'}, 'Saturday': {'close': '12:00', 'open': '07:00'}}"
zgy27FSnvwdINfk5cXBIyQ,"{'Monday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Sunday': {'close': '00:00', 'open': '00:00'}, 'Saturday': {'close': '00:00', 'open': '00:00'}}"
WETE_LykpcnrC1sFcQ5EGg,{}
6o3RK6rTcN3nw-j-r2nQmA,{}
woOVJ0Z2f6XNCDntHA3b_g,"{'Monday': {'close': '19:00', 'open': '08:30'}, 'Tuesday': {'close': '19:00', 'open': '08:30'}, 'Friday': {'close': '19:00', 'open': '08:30'}, 'Wednesday': {'close': '19:00', 'open': '08:30'}, 'Thursday': {'close': '19:00', 'open': '08:30'}, 'Saturday': {'close': '18:30', 'open': '08:30'}}"
YX_cdwb0A62hdQRBiZJgtQ,{}
rv7CY8G_XibTx82YhuqQRw,{}
e_U_FnpdKVgNb4mUN2cU_Q,{}
SQ0j7bgSTazkVQlF5AnqyQ,{}
